"provider_name","website","email","street_address","city","state","Zipcode","phone","description","from_age","to_age","has_class","has_camp","has_birthday_party","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","Activity Type (not in the drop down list/choose from the list here: http://www.activityhero.com/in/san-jose-ca/categories)","Activity Type (not in the drop down list/choose from the list here: http://www.activityhero.com/in/san-jose-ca/categories)","Activity Type (not in the drop down list/choose from the list here: http://www.activityhero.com/in/san-jose-ca/categories)","Starting price","price_type (values - ""per_class"", ""per_session"" , ""per_month"", ""per_hour"", ""per_day"", ""per_week"", ""per_year"", ""per_season"")","Registration Type  (online, web form, pdf)","Facebook page","Over 500 likes on FB (y/n)","logo_url","photo_url","NOTES","Hot Lead"
"Malashock Dance","http://malashockdance.org/","info@malashockdance.org","2650 Truxtun Road, Suite 202","San Diego","CA",92106,"(619) 260-1622","Malashock Dance opened its school in 2007, greatly expanding its connection to the community through a full spectrum of educational offerings. The Malashock Dance School provides a comprehensive array of modern dance classes, workshops, master classes, and education outreach activities for children, teens, adults, and professional dancers. Each class is designed to make the experience of dance creative, meaningful, and fun for dancers of all ages and abilities.",3,99,"Yes","No","No","Dance","Contemporary",,,,,,,"Creative Dance",,,210,"Per_session","ETapestry","https://www.facebook.com/malashockdance?ref=br_tf","Yes","http://malashockdance.org/wp-content/uploads/2014/04/Malashock_Logo11.png","https://fbcdn-sphotos-d-a.akamaihd.net/hphotos-ak-xpa1/v/t1.0-9/10552439_10152235233842434_7136792303814620107_n.jpg?oh=13ca1b201a1711f94155c7e7b4d489f9&oe=551F6CF1&__gda__=1427162087_8edf0484883adb36e9f59a0ee30199c7",,
"Dance Creations","http://www.dancecreations.com/","dancecreations@roadrunner.com","888 E. Easy St.","Simi Valley","CA",93065,"(805) 582-2598","The Dance Creations studio hosts a family-oriented environment that nurtures the technical development and artistic growth of each and every student. For nearly 20 years, we have trained aspiring students of all ages, including recreational and competitive dancers. Students are classed together based on age, interest, dedication, and dance abilities.",2,99,"Yes","Yes","No","Dance","Tap","Jazz","HipHop","Lyrical","Contemporary","Pointe",,"Acrobatics",,,44,"Per_month","PDF","https://www.facebook.com/dancecreations.simivalley","No","https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xaf1/v/t1.0-1/c34.0.113.113/294090_256613857697041_1304253_n.jpg?oh=8f92cc5bd226345412cfaf98ab653e97&oe=550F9B97&__gda__=1427290586_3b7e754fb6f4157de5ea365b0ac1af47","https://scontent-a.xx.fbcdn.net/hphotos-xfa1/v/t1.0-9/10452447_810862308938857_3358148009941232250_n.jpg?oh=1e1d81fd314739e50b46a60104247441&oe=551149E0",,"Yes"
"On Pointe Dance Studio","http://www.onpointedance.org/","e-mail @ Cristina@OnPointeDance.org","3591 Hamner Ave., Ste A","Norco","CA",92860,"(951) 738-9085","On Pointe is a friendly & professional dance studio. On Pointe staff are professionals in various genres of dance, and are dedicated to providing  students of all ages and levels a positive and fun experience. We offer Jazz, Tap, Ballet & Pointe, Breakdancing, Hip-Hop, Lyrical/Contemporary, Mommy & Me, Pre-Ballet & Combo, Acro/Gymnastics and more for ages 2 through Adult!",2,99,"Yes","No","Yes","Dance","Ballet","Tap","Jazz","HipHop","Lyrical","Contemporary","Breakdance","Acrobatics","Gymnastics",,45,"Per_month","PDF","https://www.facebook.com/OnPointeDance","Yes","N/A","https://scontent-b.xx.fbcdn.net/hphotos-xpf1/v/t1.0-9/10301938_812312748810000_6087461829989353403_n.jpg?oh=a8cdab32c28015b4698b1856be182577&oe=5503A75C",,"Yes"
"Pro Dance Center","http://www.prodancecenter.com/","info@prodancecenter.com","910 Roosevelt suite #100","Irvine","CA",92620,"(949) 733-0376","We are professional dancers with years of experience who enjoy teaching children and adults. We offer various forms of dance classes such as Combo Dance, Ballet Dance, Belly Dance, Hip Hop/Salsa bic (work-out), Salsa Dance, Hip Hop Dance, Boys Dance Class, Hula & Tahitian Dance, Jazz Dance, Persian Dance, Tap Dance, Turn & Technique and Freestyle. We also provide First Wedding Dance lessons. We have several years of experience as professional dancers in Europe. Our Classes are fun and unique.·We provide a positive environment for students to study dance while they create memories and build friendships through their experience·at Pro Dance Center.",3,99,"Yes","Yes","Yes","Dance","Ballet","Tap","Jazz","HipHop","Lyrical","Latin",,,,,60,"Per_month","Phone/Email","https://www.facebook.com/pages/PRO-DANCE-CENTER/69793164694","Yes","http://www.prodancecenter.com/images/sfh/Pro-Dance-Center-Irvine-Ballet-Adults1.jpg","https://fbcdn-sphotos-g-a.akamaihd.net/hphotos-ak-xaf1/v/t1.0-9/10557346_10152594835324695_2875721796711575184_n.jpg?oh=c180658591fbf80d856dce788988fa26&oe=5516750D&__gda__=1426867897_5c2a1de0636d43e3879751009aaab2a3",,"Yes"
"Sparkle Dance Academy","http://www.sparkledanceacademy.com/","DancinCinderella@aol.com","10373 Trademark St. Suite E","Rancho Cucamonga","CA",91730,"(909) 476-2420","GREAT NEWS for dancers of ballet, hip hop, jazz, and more! There's a cutting edge dance studio in Rancho Cucamonga, California which offers expert instruction on all types of dance! Whatever your style or level of experience, come to Sparkle Dance Academy to celebrate this wonderful art form; gain outstanding experience under the instruction of experts; or join our Competitive Dance Team to prep for the coming 2014 season. Founder and Head Dance Instructor, Felecia Owsian, has been dancing competitively for many years. Sparkle Dance Academy is her outlet for her passion and experience in sharing her love for dance with others, as it is for all of her fellow instructors.",3,99,"Yes","No","No","Dance","Ballet","Tap","Jazz","HipHop","Lyrical",,,,,,45,"Per_month","Phone/Email","https://www.facebook.com/pages/Sparkle-Dance-Academy/157694871015116?ref=br_tf","No","http://www.sparkledanceacademy.com/images/sparkle_logo.png","https://fbcdn-sphotos-d-a.akamaihd.net/hphotos-ak-ash2/v/t1.0-9/1010832_407475979370336_720127275_n.jpg?oh=e6f36f14f14179b2decbd594b14e978a&oe=550854C4&__gda__=1427069283_187189809c28b3494d4fa9442f69863b",,"Yes"
"The MovementLAB","http://www.dancersmovementlab.com/","admin@dancersmovementlab.com","981 Airway Court STE C1","Santa Rosa","CA",95403,"(707)206-7444","Here at the The Movement Lab, we believe in following your heart and pursuing your passion. With many years of combined teaching, performing, choreographing and directing experience, Bernadette wishes to share her love for dance with you. After teaching for many years throughout northern California, Bernadette decided to open a dance space here in Santa Rosa, CA. Bernadette and faculty are excited to share their unique dance styles and choreography with you. At The Movement Lab you can expect a warm and friendly environment where everyone is treated with respect.",3,99,"Yes","Yes","No","Dance","Ballet","Jazz","HipHop","Breakdance",,,,,,,55,"Per_month","Word Doc","https://www.facebook.com/StudioGray","Yes","https://scontent-a.xx.fbcdn.net/hphotos-xpa1/v/t1.0-9/10450613_711647478885008_7438746184612216938_n.jpg?oh=ce33dcc0b3fa045998a9eb97ed2a34d5&oe=550675C2","https://scontent-b.xx.fbcdn.net/hphotos-xpa1/v/t1.0-9/10686674_724146350968454_8147155546143013833_n.jpg?oh=f5688a0be80ba12c0e4ad22f7bda7a7e&oe=5507FC4A",,"Yes"
"Dance Magic Studios","http://www.dancemagicstudios.com/","dancemagicstudio@verizon.net","44917 10th St.West","Lancaster","CA",93534,"661-948-8866","Dance Magic Studios trains dancers from Lancaster, Palmdale, Rosamond, Acton and the surrounding Antelope Valley areas. Valley Ballet Academy which follows the American Ballet Theatre National Curriculum is the studio’s ballet school. Dance Magic also offers outstanding hip hop, contemporary, jazz, tap,",3,99,"Yes","No","No","Dance","Ballet","Tap","Jazz","HipHop","Contemporary","Pointe",,,,,49,"Per_month","PDF","https://www.facebook.com/pages/Dance-Magic/166130960095512?fref=ts","Yes","https://fbcdn-sphotos-b-a.akamaihd.net/hphotos-ak-xfa1/v/t1.0-9/533576_445571548818117_2091783038_n.jpg?oh=fc151c080b6619189aba7cab11bae713&oe=5518DF62&__gda__=1428189419_9ee826e4c10c5413fdaf0660ea9920a1","https://fbcdn-sphotos-h-a.akamaihd.net/hphotos-ak-xap1/v/t1.0-9/1487340_855205761188025_468104459388498179_n.jpg?oh=7855cae7cf65715c0de1d9222e82bebc&oe=54FED0F3&__gda__=1426003726_e9c622c3875bbe73549aafb5a3132b57",,"Yes"
"Petaluma School of Ballet","http://www.petalumaschoolofballet.com/","petballet110@yahoo.com","110 Howard St.","Petaluma","CA",94952,"(707) 762-3972","Petaluma School of Ballet is proud to be Sonoma County’s oldest dance studio, offering quality dance training and education since 1959! Dance is what we love & what we teach very, very well! We offer ballet, pointe, hip hop, jazz and Kidz Jazz. We are also home to Zumba (our latin dance fitness classes) and Capoeira, providing a dance and fitness center for all your family's needs.",2,99,"Yes","No","Yes","Dance","Ballet","Jazz","HipHop","Pointe","Latin",,,,,,285,"Per_session","Phone/Email","https://www.facebook.com/pages/Petaluma-School-of-Ballet/138409156203046?ref=ts","No","http://www.petalumaschoolofballet.com/images/Homepage/Home-2_02.jpg","https://scontent-a.xx.fbcdn.net/hphotos-xfa1/v/t1.0-9/10419421_783961871647768_3449789878477499350_n.jpg?oh=af4390aa57b99ff605a300a61e445fec&oe=551C512F",,"Yes"
"Turning Pointe Dance Academy","http://www.lancasterdance.com/",,"42116 50th Street West Ste. A","Quartz Hill","CA",93536,"661-943-1081","Turning Pointe Dance Academy offers dancing classes in Quartz Hill, CA. Our mission is to provide our students with the opportunity to excel and grow in all forms of dance. Our classes are for everyone ages 2 and up in all skill levels from beginning to advanced.",2,99,"Yes","No","No","Dance","Ballet","Tap","Jazz","HipHop","Lyrical","Pointe",,,,,,,,"N/A","N/A","http://legacy.ybsitecenter.com/images/kop/headers/la/84575/siteheader.jpg",,"No pricing info, and no usable pics on site","Yes"
,,,,,"CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,
